City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
542,Crotone,IT,84.2,39.09,17.12,Helios Hotel
544,Ciudad Bolivar,VE,75.54,8.12,-63.55,Hotel Edi
545,Tianpeng,CN,86.0,30.99,103.94,Shuangliu Love Home Business Hotel
554,Dibulla,CO,77.58,11.27,-73.31,Hospedaje Dibulla Beach
560,Jega,NG,79.61,12.22,4.38,Jega Guest Inn
569,Atlantic City,US,75.2,39.36,-74.42,Resorts Casino Hotel
570,Coahuayana,MX,78.67,18.73,-103.68,Hotel Los Arcos
571,Pandan,PH,87.94,14.05,124.17,Bonifacio Lodge
573,Santa Rosalia,MX,83.66,27.32,-112.28,Hotel Las Casitas Santa Rosalia
580,Martapura,ID,89.6,-3.42,114.85,Montana Hotel Syariah
589,Ginda,IN,78.91,30.69,78.49,Bal uma sankar hotel and restaurant
